Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g,opt_gap
37,2,5,65,156816,470448,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.20833333333333331, 0.9375]","[0.3333333333333333, 0.5]",0.5,0.1297391640251755,3367277_28,1,(MM:SS): 29:39,991.0,1.1031999625265598,3389351_38,1,(MM:SS): 10:07,791.0,1.1002707481384275,0.0026551980489772
38,2,5,51,97344,292032,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.20833333333333331, 1.25]","[0.3333333333333333, 0.6666666666666666]",0.5,0.1297582976948838,3367278_29,1,(MM:SS): 13:57,936.0,1.420105000336965,3389352_39,1,(MM:SS): 05:13,798.0,1.4124592145284018,0.0053839580923586
39,2,5,125,571536,1714608,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.24999999999999994, 0.75]","[0.3333333333333333, 0.3333333333333333]",0.6,0.2380711825487944,3367309_30,1,(HH:MM:SS): 05:52:36,1727.0,0.8966343601544698,3389353_40,1,(HH:MM:SS): 01:50:55,1229.0,0.8920383453369141,0.0051258517649981
40,2,5,91,304704,914112,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.24999999999999994, 1.125]","[0.3333333333333333, 0.5]",0.6,0.238959576624254,3367310_31,1,(HH:MM:SS): 01:59:42,1491.0,1.2634527124464512,3389354_41,1,(MM:SS): 38:11,1061.0,1.25298410654068,0.008285712478705
41,2,5,72,191844,575532,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.24999999999999994, 1.5]","[0.3333333333333333, 0.6666666666666666]",0.6,0.2399212159402454,3367311_32,1,(MM:SS): 57:21,1420.0,1.639703909556071,3389355_42,1,(MM:SS): 20:01,1085.0,1.6169786453247073,0.0138593706454699
42,2,5,180,1179396,3538188,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.29166666666666663, 0.8749999999999999]","[0.3333333333333333, 0.3333333333333333]",0.7,0.3837319829586251,3910154_25,12,15:00:00,,,3907727_23,10,15:00:00,,,
43,2,5,131,627264,1881792,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.29166666666666663, 1.3125]","[0.3333333333333333, 0.5]",0.7,0.3860187418331117,3910155_26,12,15:00:00,,,3907728_24,10,15:00:00,,,
44,2,5,104,396900,1190700,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.29166666666666663, 1.7499999999999998]","[0.3333333333333333, 0.6666666666666666]",0.7,0.3883309664228036,3910156_27,12,15:00:00,,,3907729_25,10,15:00:00,,,
45,2,5,286,2965284,8895852,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3333333333333333, 1.0]","[0.3333333333333333, 0.3333333333333333]",0.8,0.5635426790134779,3910157_28,12,15:00:00,,,3907730_26,10,15:00:00,,,
46,2,5,209,1587600,4762800,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3333333333333333, 1.5]","[0.3333333333333333, 0.5]",0.8,0.5669578394667055,3910158_29,12,15:00:00,,,3910251_27,11,15:00:00,,,
47,2,5,165,992016,2976048,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3333333333333333, 2.0]","[0.3333333333333333, 0.6666666666666666]",0.8,0.5703031638699687,3910159_30,12,15:00:00,,,3907732_28,10,15:00:00,,,
48,2,5,89,291600,874800,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.41666666666666663, 0.41666666666666663]","[0.3333333333333333, 0.3333333333333333]",0.5,0.1297933660848856,3367322_39,1,(HH:MM:SS): 01:40:02,1086.0,0.7926019839942455,3389775_49,1,(MM:SS): 31:53,766.0,0.7915705939133962,0.0013012711318885
49,2,5,71,186624,559872,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.41666666666666663, 0.625]","[0.3333333333333333, 0.5]",0.5,0.1297486563912791,3367323_40,1,(MM:SS): 38:31,992.0,1.0003728419542313,3389814_50,1,(MM:SS): 12:01,655.0,0.997830331325531,0.0025415630273743
